City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
204,Souillac,MU,2022-01-13 02:52:58,-20.5167,57.5167,81.36,88,40,5.75,light rain
205,Isangel,VU,2022-01-13 02:52:59,-19.55,169.2667,86.11,79,20,11.5,few clouds
206,Coaraci,BR,2022-01-13 02:52:59,-14.6408,-39.5511,76.44,97,5,1.12,clear sky
207,Puerto Escondido,MX,2022-01-13 02:52:59,15.85,-97.0667,79.63,69,20,0.0,few clouds
208,Chicama,PE,2022-01-13 02:53:00,-7.8447,-79.1469,70.34,78,94,5.46,overcast clouds
209,Laguna,US,2022-01-13 02:53:00,38.421,-121.4238,57.7,85,0,0.0,clear sky
210,Waddan,LY,2022-01-13 02:53:00,29.1614,16.139,45.55,77,5,7.74,clear sky
211,Davila,PH,2022-01-13 02:53:01,18.4726,120.5763,78.78,72,25,20.04,scattered clouds
212,Ponta Do Sol,PT,2022-01-13 02:53:01,32.6667,-17.1,62.71,70,50,3.24,scattered clouds
213,Raton,US,2022-01-13 02:53:01,36.9034,-104.4391,40.59,44,5,3.4,clear sky
214,Den Helder,NL,2022-01-13 02:53:02,52.9599,4.7593,46.38,99,4,8.01,mist
215,Hamilton,US,2022-01-13 02:53:02,39.1834,-84.5333,41.77,70,100,5.1,overcast clouds
216,Aksay,RU,2022-01-13 02:53:02,47.26,39.87,8.82,68,86,9.86,overcast clouds
217,Abu Samrah,SY,2022-01-13 02:53:03,35.3029,37.1841,50.22,80,92,9.31,overcast clouds
218,Sioux Lookout,CA,2022-01-13 02:51:41,50.1001,-91.917,10.78,85,100,4.61,overcast clouds
219,Igurubi,TZ,2022-01-13 02:53:03,-4.0,33.7,64.26,51,94,5.77,overcast clouds
220,Necochea,AR,2022-01-13 02:53:03,-38.5473,-58.7368,81.03,35,0,18.3,clear sky
221,Dicabisagan,PH,2022-01-13 02:53:04,17.0818,122.4157,74.55,77,65,6.22,broken clouds
222,Port Blair,IN,2022-01-13 02:53:04,11.6667,92.75,82.81,70,100,12.17,overcast clouds
223,The Valley,AI,2022-01-13 02:53:04,18.217,-63.0578,75.09,75,10,15.86,clear sky
224,Turayf,SA,2022-01-13 02:53:05,31.6725,38.6637,44.85,87,40,6.91,scattered clouds
225,Bethel,US,2022-01-13 02:53:05,41.3712,-73.414,32.81,77,84,2.8,broken clouds
226,Almeria,ES,2022-01-13 02:53:05,37.1667,-2.3333,44.78,86,28,4.92,scattered clouds
227,Spas-Klepiki,RU,2022-01-13 02:54:06,55.1347,40.1767,1.62,98,90,3.83,snow
228,Zonguldak,TR,2022-01-13 02:54:06,41.25,31.8333,26.85,98,100,3.8,light snow
229,Santa Rosa,PH,2022-01-13 02:54:06,14.3122,121.1114,82.38,71,59,10.69,broken clouds
230,Fairbanks,US,2022-01-13 02:54:07,64.8378,-147.7164,15.93,85,100,0.0,overcast clouds
231,Meulaboh,ID,2022-01-13 02:54:07,4.1363,96.1285,80.11,77,87,2.86,overcast clouds
232,Anloga,GH,2022-01-13 02:54:07,5.7947,0.8973,82.62,81,100,11.16,light rain
233,Kavaratti,IN,2022-01-13 02:54:08,10.5669,72.642,78.51,68,98,10.65,overcast clouds
234,Ulladulla,AU,2022-01-13 02:54:08,-35.35,150.4667,77.9,71,52,9.08,light rain
235,Namatanai,PG,2022-01-13 02:54:08,-3.6667,152.4333,85.03,68,81,10.07,light rain
236,Gazanjyk,TM,2022-01-13 02:54:08,39.2446,55.5154,43.99,85,100,11.32,overcast clouds
237,Salinas,US,2022-01-13 02:51:08,36.6777,-121.6555,61.68,60,0,3.44,clear sky
238,San Matias,BO,2022-01-13 02:54:09,-16.3667,-58.4,78.06,68,50,4.68,scattered clouds
239,Ellington,US,2022-01-13 02:53:23,41.904,-72.4698,32.9,72,58,4.32,broken clouds
240,Goundam,ML,2022-01-13 02:54:09,16.4145,-3.6708,66.51,10,50,9.46,scattered clouds
241,Kemijarvi,FI,2022-01-13 02:54:10,66.7131,27.4306,31.1,77,100,13.51,overcast clouds
242,Luanda,AO,2022-01-13 02:51:48,-8.8368,13.2343,75.56,80,100,4.59,overcast clouds
243,Kudahuvadhoo,MV,2022-01-13 02:54:10,2.6708,72.8944,81.88,72,100,7.34,overcast clouds
244,Big Spring,US,2022-01-13 02:54:10,32.2504,-101.4787,53.55,33,0,1.01,clear sky
245,Zhengjiatun,CN,2022-01-13 02:54:11,43.5064,123.5064,4.26,73,5,6.33,clear sky
246,Dannenberg,DE,2022-01-13 02:54:11,53.0967,11.09,40.62,93,1,12.15,clear sky
247,Cuamba,MZ,2022-01-13 02:54:11,-14.8031,36.5372,69.08,98,100,3.2,overcast clouds
248,Kenora,CA,2022-01-13 02:54:11,49.8167,-94.4337,15.78,85,100,6.91,overcast clouds
249,Lagos,NG,2022-01-13 02:54:12,6.5833,3.75,80.92,86,100,5.37,light rain
250,Qaqortoq,GL,2022-01-13 02:54:12,60.7167,-46.0333,3.13,86,27,8.28,scattered clouds
251,Saint-Pierre,RE,2022-01-13 02:54:12,-21.3393,55.4781,77.29,83,0,5.75,clear sky
252,Novopavlovka,RU,2022-01-13 02:54:13,51.2172,109.2091,2.75,79,100,2.17,overcast clouds
253,Suntar,RU,2022-01-13 02:54:13,62.1444,117.6319,-9.0,98,99,2.26,overcast clouds
254,Merrill,US,2022-01-13 02:54:13,45.1805,-89.6835,26.78,86,100,0.0,overcast clouds
255,Constitucion,CL,2022-01-13 02:54:14,-35.3333,-72.4167,57.38,93,10,5.88,clear sky
256,Itum-Kale,RU,2022-01-13 02:54:14,42.7356,45.5758,39.33,73,93,1.59,overcast clouds
257,Guerrero Negro,MX,2022-01-13 02:54:10,27.9769,-114.0611,68.34,41,50,6.13,scattered clouds
258,Kidal,ML,2022-01-13 02:54:14,18.4411,1.4078,63.34,19,2,10.13,clear sky
259,Biankouma,CI,2022-01-13 02:54:15,7.7391,-7.6138,68.52,30,37,1.86,scattered clouds
260,Iqaluit,CA,2022-01-13 02:54:15,63.7506,-68.5145,-16.31,62,40,5.01,scattered clouds
