City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,Nikolskoye,59.7035,30.7861,24.69,98,97,3.47,RU,2022-01-09 16:59:05
30,Khandyga,62.6667,135.6,-40.36,99,94,0.34,RU,2022-01-09 16:59:05
31,Atuona,-9.8,-139.0333,78.55,75,67,20.2,PF,2022-01-09 16:55:57
32,Bafia,4.75,11.2333,85.75,39,98,5.08,CM,2022-01-09 16:59:06
33,Kautokeino,69.0125,23.0412,-8.55,99,54,2.48,NO,2022-01-09 16:59:06
34,Bandiagara,14.3501,-3.6104,83.03,7,8,9.69,ML,2022-01-09 16:54:17
35,Guozhen,34.3659,107.359,40.51,95,100,3.36,CN,2022-01-09 16:59:07
36,Ararat,39.8317,44.7049,28.74,64,3,3.31,AM,2022-01-09 16:59:07
37,Taylor,32.3001,-99.8337,45.54,56,100,13.0,US,2022-01-09 16:59:07
38,Kruisfontein,-34.0033,24.7314,77.59,68,0,12.73,ZA,2022-01-09 16:59:07
39,Jamestown,42.097,-79.2353,40.59,57,100,10.0,US,2022-01-09 16:57:06
40,Adrar,20.5022,-10.0711,70.05,8,90,15.95,MR,2022-01-09 16:59:08
41,Berdigestyakh,62.0989,126.6992,-34.11,100,98,2.33,RU,2022-01-09 16:59:08
42,Hay River,60.8156,-115.7999,-22.02,76,20,3.44,CA,2022-01-09 16:59:09
43,Wichita Falls,33.9137,-98.4934,43.16,54,100,17.27,US,2022-01-09 16:55:27
44,Talcahuano,-36.7167,-73.1167,65.88,72,75,14.97,CL,2022-01-09 16:59:09
45,Carnarvon,-24.8667,113.6333,73.47,73,0,19.57,AU,2022-01-09 16:59:09
46,Rivera,-30.9053,-55.5508,92.75,24,40,9.37,UY,2022-01-09 17:00:12
47,Altay,47.8667,88.1167,14.86,68,63,6.82,CN,2022-01-09 17:00:13
48,Qaqortoq,60.7167,-46.0333,16.3,87,100,1.61,GL,2022-01-09 17:00:14
49,Vila Velha,-20.3297,-40.2925,75.94,94,100,6.91,BR,2022-01-09 16:56:03
50,Totoral,-17.4053,-70.365,66.7,70,98,10.94,PE,2022-01-09 17:00:16
51,Aksu,41.1231,80.2644,25.03,46,100,1.34,CN,2022-01-09 17:00:18
52,Hobart,-42.8794,147.3294,60.66,87,100,6.91,AU,2022-01-09 16:58:22
53,Moskovskiy,55.5991,37.355,21.18,88,90,8.99,RU,2022-01-09 17:00:19
54,Lebu,-37.6167,-73.65,65.97,74,53,13.44,CL,2022-01-09 16:55:58
55,Avarua,-21.2078,-159.775,77.05,94,20,5.75,CK,2022-01-09 16:57:28
56,Hithadhoo,-0.6,73.0833,82.56,70,84,4.38,MV,2022-01-09 17:00:21
57,Chapais,49.7834,-74.8492,17.38,94,100,12.64,CA,2022-01-09 17:00:25
58,Torbay,47.6666,-52.7314,25.57,65,70,7.0,CA,2022-01-09 17:00:25
59,Guerrero Negro,27.9769,-114.0611,61.43,65,100,2.19,MX,2022-01-09 17:00:26
60,Kapaa,22.0752,-159.319,66.18,75,16,1.54,US,2022-01-09 17:00:27
61,East London,-33.0153,27.9116,75.74,83,5,26.06,ZA,2022-01-09 17:00:27
62,Busselton,-33.65,115.3333,57.09,73,24,11.54,AU,2022-01-09 17:00:28
63,Shache,38.4167,77.2406,27.03,47,84,3.36,CN,2022-01-09 17:00:28
64,Nanortalik,60.1432,-45.2371,19.08,84,100,29.48,GL,2022-01-09 17:00:28
65,Filadelfia,39.9523,-75.1638,39.43,79,75,5.99,US,2022-01-09 16:56:38
66,Skagen,57.7209,10.5839,36.09,97,100,26.46,DK,2022-01-09 17:00:29
67,Longyearbyen,78.2186,15.6401,24.64,93,75,4.61,SJ,2022-01-09 17:00:29
